Open,High,Low,Close
11.64,11.64,11.32,11.38
11.595,11.68,11.485,11.52
11.56,12.09,11.485,11.7
11.45,11.65,11.205,11.27
11.2,11.465,11.12,11.35
11.325,11.5,11.11,11.155
11.57,11.595,11.2,11.235
11.2,11.21,10.75,10.805
10.99,10.99,10.3,10.62
11,11,10.3,10.465
10.4,10.5,10.125,10.3
10.58,10.69,10.36,10.49
10.2,10.5,10.2,10.42
10.54,10.64,10.43,10.575
10.515,10.99,10.5,10.855
11.09,11.16,10.85,10.91
11.045,11.045,10.51,10.58
10.625,10.79,10.535,10.73
10.845,10.93,10.725,10.79
10.8,10.85,10.685,10.735
10.04,10.65,10.04,10.565
10.7,10.77,10.575,10.635
10.7,10.745,10.53,10.565
10.6,10.645,10.425,10.48
10.49,10.69,10.49,10.555
10.6,10.68,10.46,10.475
10.46,10.595,10.46,10.505
10.595,10.65,10.52,10.585
10.66,10.715,10.525,10.565
10.565,10.6,10.5,10.52
10.48,10.595,10.425,10.46
10.465,10.75,10.465,10.63
10.61,11.25,10.61,11.105
11.28,11.89,11.15,11.44
11.4,11.4,11.04,11.165
11.28,11.44,11.115,11.19
11.1,11.22,10.715,10.78
10.85,10.86,10.51,10.57
10.67,10.79,10.6,10.68
10.795,10.86,10.705,10.805
10.5,10.5,10.01,10.12
10.25,10.3,10.15,10.185
10.285,10.34,10.14,10.205
10.29,10.29,10.025,10.055
10.125,10.275,9.9,9.92
9.825,10.085,9.71,9.96
10.19,10.19,9.82,9.865
9.53,9.785,9.53,9.63
9.48,9.645,9.465,9.52
11.4,11.4,9.575,9.78
9.995,9.995,9.645,9.7
9.815,10,9.4,9.465
9.5,9.585,9.4,9.465
9.7,9.7,9.425,9.485
9.56,9.585,9.4,9.485
9.76,9.935,9.525,9.75
9.85,9.99,9.66,9.705
9.83,9.84,9.46,9.495
9.44,9.525,9.4,9.455
9.525,9.625,9.45,9.49
9.73,9.73,9.5,9.555
9.9,9.9,9.505,9.525
9.54,9.54,9.45,9.485
9.5,9.615,9.455,9.465
9.535,9.555,9.385,9.415
9.6,9.6,9.305,9.325
9.495,9.495,9.2,9.21
9.3,9.345,9.025,9.095
9.025,9.16,9.025,9.09
9.075,9.34,9.075,9.25
9.365,9.49,9.225,9.36
9.46,9.58,9.45,9.495
9.5,9.65,9.46,9.55
9.4,9.65,9.4,9.59
9.68,9.7,9.5,9.64
9.9,9.9,9.6,9.61
9.9,9.95,9.7,9.715
9.95,9.95,9.62,9.72
9.525,9.79,9.4,9.495
9.4,9.55,9.4,9.49
9.9,9.9,9.4,9.445
9.425,9.56,9.425,9.515
9.7,9.7,9.5,9.55
9.65,9.935,9.55,9.85
9.86,9.9,9.5,9.625
9.75,9.8,9.58,9.625
9.825,9.845,9.655,9.7
9.525,9.755,9.525,9.695
9.8,10.04,9.7,9.845
9.945,9.945,9.75,9.785
9.8,9.875,9.78,9.8
9.8,9.95,9.79,9.875
10,11.13,10,11.075
11.2,11.62,10.725,11.05
10.775,11.44,10.775,11.36
11.4,12.07,11.4,11.885
11.995,12.025,11.6,11.695
11.87,12,11.3,11.385
11.3,12.045,11.2,11.945
12.17,12.49,12.085,12.405
12.49,12.54,12.01,12.055
12.18,13,12.1,12.885
13.1,13.14,12.21,12.285
12.255,12.54,12.1,12.395
12.6,13.195,12.6,12.85
12.735,12.9,12.51,12.55
12.685,12.99,12.59,12.895
12.8,13.44,12.74,13.095
13.13,13.85,13.1,13.745
13.855,14.75,13.505,14.67
14.85,15.59,14.575,14.685
14.64,14.88,14.155,14.565
14.45,15.14,14.45,14.575
14.74,14.79,14.465,14.525
14.63,14.775,14.05,14.12
14.6,14.645,14.24,14.445
14.515,15.05,14.5,14.65
14.73,14.735,14.135,14.26
14.69,16.059999,14.305,15.855
15.91,17.09,15.9,16.93
17.34,17.76,16.51,17.469999
17.24,17.299999,16.225,16.42
16.49,17,16.32,16.75
16.65,17.325001,16.65,16.879999
16.93,17.15,16.5,16.555
16.68,16.889999,16.299999,16.495001
16.48,16.535,15.91,15.975
15.5,16.65,15.5,16.065001
16.105,16.389999,15.86,15.935
15.96,16.049999,15.225,15.515
15.95,15.95,14.525,14.965
17.200001,17.200001,14.005,14.2
14.34,15.985,13.93,15.81
15.31,15.7,14.86,15.055
15.075,15.35,14.695,14.815
14.775,15.13,14.43,14.79
14.895,15.5,14.8,15.42
15.54,15.6,14.805,14.9
14.8,15.38,14.73,14.825
14.855,16.025,14.855,15.95
16.555,17.370001,15.055,15.295
15.3,15.37,14.455,14.52
14.74,14.875,14.15,14.35
14.49,14.49,14,14.07
14.1,14.29,13.515,13.59
13.98,14.59,13.98,14.415
14.55,14.55,13.965,14.085
14.21,14.4,14.09,14.15
14.25,14.25,13.675,13.88
13.9,14.59,13.7,14.18
14.3,14.795,14.2,14.405
14,15.225,14,15.08
15.235,15.6,15.125,15.345
15.01,15.955,15.01,15.685
15.51,15.875,14.87,15.13
15.27,15.645,15.075,15.395
15.39,15.49,14.935,15.005
14.74,14.93,14.545,14.74
14.98,15.7,14.98,15.175
14.995,15.145,14.51,14.635
14.9,14.9,14.08,14.175
14.645,14.645,14.035,14.56
14.695,15.16,14.255,14.365
14.55,14.635,14.14,14.28
14.15,14.15,13.65,13.86
14.25,14.55,14.06,14.295
14.1,14.9,13.93,14.765
14.73,15.195,14.6,14.74
14.95,15.07,14.15,14.225
13.885,14.25,13.765,14.18
14.37,14.525,13.95,14.075
14.1,14.295,13.85,13.955
14.05,14.15,13.7,13.74
13.615,13.75,12.31,12.525
12.495,13.15,12.495,12.915
13.075,13.22,12.975,13.13
13.5,13.925,13.25,13.63
13.85,13.925,13.3,13.79
14.21,14.74,14.21,14.38
14.4,15.24,14.225,14.92
14.8,15.55,14.8,15.15
15,15.2,14.1,14.21
14.4,15.16,14,14.93
15.6,15.75,14.82,15.575
15.7,15.85,15.1,15.225
14.99,15.35,14.9,14.99
